,rouge-1,rouge-2,rouge-l
0,"{'r': 0.6097560975609756, 'p': 0.5952380952380952, 'f': 0.6024096335549428}","{'r': 0.4807692307692308, 'p': 0.4807692307692308, 'f': 0.4807692257692308}","{'r': 0.6097560975609756, 'p': 0.5952380952380952, 'f': 0.6024096335549428}"
1,"{'r': 0.5238095238095238, 'p': 0.6111111111111112, 'f': 0.5641025591321501}","{'r': 0.4142857142857143, 'p': 0.5087719298245614, 'f': 0.4566929084382169}","{'r': 0.5238095238095238, 'p': 0.6111111111111112, 'f': 0.5641025591321501}"
2,"{'r': 0.5636363636363636, 'p': 0.5535714285714286, 'f': 0.5585585535589644}","{'r': 0.4375, 'p': 0.3888888888888889, 'f': 0.41176470089965406}","{'r': 0.5636363636363636, 'p': 0.5535714285714286, 'f': 0.5585585535589644}"
3,"{'r': 0.6909090909090909, 'p': 0.5277777777777778, 'f': 0.598425191939984}","{'r': 0.6440677966101694, 'p': 0.4691358024691358, 'f': 0.5428571379806123}","{'r': 0.6909090909090909, 'p': 0.5277777777777778, 'f': 0.598425191939984}"
4,"{'r': 0.6428571428571429, 'p': 0.6101694915254238, 'f': 0.6260869515251418}","{'r': 0.532258064516129, 'p': 0.4852941176470588, 'f': 0.5076923027029586}","{'r': 0.625, 'p': 0.5932203389830508, 'f': 0.6086956471773158}"
5,"{'r': 0.8909090909090909, 'p': 0.98, 'f': 0.9333333283446712}","{'r': 0.7910447761194029, 'p': 0.9137931034482759, 'f': 0.84799999502592}","{'r': 0.8909090909090909, 'p': 0.98, 'f': 0.9333333283446712}"
6,"{'r': 0.7962962962962963, 'p': 0.8269230769230769, 'f': 0.8113207497187611}","{'r': 0.7313432835820896, 'p': 0.7903225806451613, 'f': 0.7596899174881319}","{'r': 0.7962962962962963, 'p': 0.8269230769230769, 'f': 0.8113207497187611}"
7,"{'r': 0.6415094339622641, 'p': 0.6938775510204082, 'f': 0.6666666616743561}","{'r': 0.5555555555555556, 'p': 0.5737704918032787, 'f': 0.5645161240335589}","{'r': 0.6415094339622641, 'p': 0.6938775510204082, 'f': 0.6666666616743561}"
8,"{'r': 0.6153846153846154, 'p': 0.7804878048780488, 'f': 0.688172038080703}","{'r': 0.5573770491803278, 'p': 0.6296296296296297, 'f': 0.5913043428446126}","{'r': 0.6153846153846154, 'p': 0.7804878048780488, 'f': 0.688172038080703}"
9,"{'r': 0.21428571428571427, 'p': 0.23076923076923078, 'f': 0.22222221722908106}","{'r': 0.031746031746031744, 'p': 0.03076923076923077, 'f': 0.031249995001221505}","{'r': 0.21428571428571427, 'p': 0.23076923076923078, 'f': 0.22222221722908106}"
10,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
11,"{'r': 0.41379310344827586, 'p': 0.5106382978723404, 'f': 0.4571428521977324}","{'r': 0.29850746268656714, 'p': 0.3333333333333333, 'f': 0.31496062493644994}","{'r': 0.41379310344827586, 'p': 0.5106382978723404, 'f': 0.4571428521977324}"
12,"{'r': 0.45454545454545453, 'p': 0.5102040816326531, 'f': 0.48076922578587283}","{'r': 0.2903225806451613, 'p': 0.32142857142857145, 'f': 0.30508474077563924}","{'r': 0.43636363636363634, 'p': 0.4897959183673469, 'f': 0.46153845655510356}"
13,"{'r': 0.7346938775510204, 'p': 0.7058823529411765, 'f': 0.7199999950020002}","{'r': 0.603448275862069, 'p': 0.603448275862069, 'f': 0.603448270862069}","{'r': 0.7346938775510204, 'p': 0.7058823529411765, 'f': 0.7199999950020002}"
14,"{'r': 0.9811320754716981, 'p': 1.0, 'f': 0.9904761854766441}","{'r': 0.9436619718309859, 'p': 0.9852941176470589, 'f': 0.9640287719807463}","{'r': 0.9811320754716981, 'p': 1.0, 'f': 0.9904761854766441}"
15,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 0.9857142857142858, 'p': 0.9857142857142858, 'f': 0.9857142807142858}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
16,"{'r': 0.9821428571428571, 'p': 1.0, 'f': 0.9909909859913968}","{'r': 0.9701492537313433, 'p': 0.9848484848484849, 'f': 0.9774436040228391}","{'r': 0.9821428571428571, 'p': 1.0, 'f': 0.9909909859913968}"
17,"{'r': 0.8235294117647058, 'p': 0.8076923076923077, 'f': 0.8155339755829956}","{'r': 0.7758620689655172, 'p': 0.75, 'f': 0.762711859408216}","{'r': 0.8235294117647058, 'p': 0.8076923076923077, 'f': 0.8155339755829956}"
18,"{'r': 1.0, 'p': 0.8870967741935484, 'f': 0.9401709351888378}","{'r': 0.9833333333333333, 'p': 0.855072463768116, 'f': 0.9147286771948803}","{'r': 1.0, 'p': 0.8870967741935484, 'f': 0.9401709351888378}"
19,"{'r': 0.8367346938775511, 'p': 0.803921568627451, 'f': 0.8199999950020002}","{'r': 0.7368421052631579, 'p': 0.6885245901639344, 'f': 0.7118644017854064}","{'r': 0.8367346938775511, 'p': 0.803921568627451, 'f': 0.8199999950020002}"
20,"{'r': 0.7111111111111111, 'p': 0.5925925925925926, 'f': 0.6464646415059688}","{'r': 0.7169811320754716, 'p': 0.5588235294117647, 'f': 0.628099168630558}","{'r': 0.7111111111111111, 'p': 0.5925925925925926, 'f': 0.6464646415059688}"
21,"{'r': 0.7857142857142857, 'p': 0.7457627118644068, 'f': 0.7652173863077505}","{'r': 0.7058823529411765, 'p': 0.6486486486486487, 'f': 0.6760563330370959}","{'r': 0.7857142857142857, 'p': 0.7457627118644068, 'f': 0.7652173863077505}"
22,"{'r': 0.7884615384615384, 'p': 0.7592592592592593, 'f': 0.7735849006621573}","{'r': 0.6190476190476191, 'p': 0.6290322580645161, 'f': 0.6239999950003202}","{'r': 0.7884615384615384, 'p': 0.7592592592592593, 'f': 0.7735849006621573}"
23,"{'r': 0.5, 'p': 0.5306122448979592, 'f': 0.5148514801529263}","{'r': 0.3333333333333333, 'p': 0.39622641509433965, 'f': 0.3620689605543995}","{'r': 0.5, 'p': 0.5306122448979592, 'f': 0.5148514801529263}"
24,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
25,"{'r': 0.9074074074074074, 'p': 1.0, 'f': 0.9514563056913942}","{'r': 0.9016393442622951, 'p': 0.9821428571428571, 'f': 0.9401709351800717}","{'r': 0.9074074074074074, 'p': 1.0, 'f': 0.9514563056913942}"
26,"{'r': 0.9444444444444444, 'p': 0.7611940298507462, 'f': 0.842975201669285}","{'r': 0.8666666666666667, 'p': 0.6842105263157895, 'f': 0.7647058774221455}","{'r': 0.9444444444444444, 'p': 0.7611940298507462, 'f': 0.842975201669285}"
27,"{'r': 0.49122807017543857, 'p': 0.5833333333333334, 'f': 0.5333333283700681}","{'r': 0.4098360655737705, 'p': 0.44642857142857145, 'f': 0.42735042235955883}","{'r': 0.49122807017543857, 'p': 0.5833333333333334, 'f': 0.5333333283700681}"
28,"{'r': 0.75, 'p': 0.7222222222222222, 'f': 0.7358490516055536}","{'r': 0.65, 'p': 0.639344262295082, 'f': 0.6446280941738954}","{'r': 0.75, 'p': 0.7222222222222222, 'f': 0.7358490516055536}"
29,"{'r': 0.9534883720930233, 'p': 0.9761904761904762, 'f': 0.9647058773536332}","{'r': 0.875, 'p': 0.9333333333333333, 'f': 0.9032258014568159}","{'r': 0.9534883720930233, 'p': 0.9761904761904762, 'f': 0.9647058773536332}"
30,"{'r': 1.0, 'p': 0.9636363636363636, 'f': 0.9814814764831962}","{'r': 0.9830508474576272, 'p': 0.9508196721311475, 'f': 0.9666666616680556}","{'r': 1.0, 'p': 0.9636363636363636, 'f': 0.9814814764831962}"
31,"{'r': 0.8913043478260869, 'p': 0.7454545454545455, 'f': 0.811881183158514}","{'r': 0.8301886792452831, 'p': 0.6666666666666666, 'f': 0.7394957933789986}","{'r': 0.8913043478260869, 'p': 0.7454545454545455, 'f': 0.811881183158514}"
32,"{'r': 0.4489795918367347, 'p': 0.4489795918367347, 'f': 0.4489795868367347}","{'r': 0.1896551724137931, 'p': 0.21568627450980393, 'f': 0.20183485740594237}","{'r': 0.42857142857142855, 'p': 0.42857142857142855, 'f': 0.4285714235714286}"
33,"{'r': 0.7307692307692307, 'p': 0.8085106382978723, 'f': 0.7676767626895216}","{'r': 0.5423728813559322, 'p': 0.5818181818181818, 'f': 0.5614035037780856}","{'r': 0.7307692307692307, 'p': 0.8085106382978723, 'f': 0.7676767626895216}"
34,"{'r': 0.9666666666666667, 'p': 1.0, 'f': 0.9830508424590635}","{'r': 0.9523809523809523, 'p': 0.9836065573770492, 'f': 0.9677419304851718}","{'r': 0.9666666666666667, 'p': 1.0, 'f': 0.9830508424590635}"
35,"{'r': 0.3191489361702128, 'p': 0.28846153846153844, 'f': 0.3030302980430569}","{'r': 0.1694915254237288, 'p': 0.16666666666666666, 'f': 0.16806722189110954}","{'r': 0.3191489361702128, 'p': 0.28846153846153844, 'f': 0.3030302980430569}"
36,"{'r': 0.8813559322033898, 'p': 0.896551724137931, 'f': 0.8888888838892542}","{'r': 0.8108108108108109, 'p': 0.8571428571428571, 'f': 0.8333333283371915}","{'r': 0.8813559322033898, 'p': 0.896551724137931, 'f': 0.8888888838892542}"
37,"{'r': 0.7962962962962963, 'p': 0.7166666666666667, 'f': 0.7543859599261311}","{'r': 0.6567164179104478, 'p': 0.6376811594202898, 'f': 0.6470588185304932}","{'r': 0.7962962962962963, 'p': 0.7166666666666667, 'f': 0.7543859599261311}"
38,"{'r': 0.96, 'p': 0.9795918367346939, 'f': 0.9696969646974799}","{'r': 0.9322033898305084, 'p': 0.9322033898305084, 'f': 0.9322033848305086}","{'r': 0.96, 'p': 0.9795918367346939, 'f': 0.9696969646974799}"
39,"{'r': 0.9482758620689655, 'p': 0.9016393442622951, 'f': 0.9243697429023374}","{'r': 0.8923076923076924, 'p': 0.8787878787878788, 'f': 0.8854961782063984}","{'r': 0.9482758620689655, 'p': 0.9016393442622951, 'f': 0.9243697429023374}"
40,"{'r': 1.0, 'p': 0.9444444444444444, 'f': 0.9714285664326531}","{'r': 0.9830508474576272, 'p': 0.90625, 'f': 0.9430894259025713}","{'r': 1.0, 'p': 0.9444444444444444, 'f': 0.9714285664326531}"
41,"{'r': 0.9636363636363636, 'p': 0.8983050847457628, 'f': 0.9298245564096647}","{'r': 0.9230769230769231, 'p': 0.8695652173913043, 'f': 0.8955223830641569}","{'r': 0.9636363636363636, 'p': 0.8983050847457628, 'f': 0.9298245564096647}"
42,"{'r': 0.24074074074074073, 'p': 0.19402985074626866, 'f': 0.214876028115566}","{'r': 0.1, 'p': 0.07692307692307693, 'f': 0.08695651682419688}","{'r': 0.2222222222222222, 'p': 0.1791044776119403, 'f': 0.1983471024957313}"
43,"{'r': 0.9454545454545454, 'p': 0.9454545454545454, 'f': 0.9454545404545455}","{'r': 0.8607594936708861, 'p': 0.9444444444444444, 'f': 0.9006622466663744}","{'r': 0.9454545454545454, 'p': 0.9454545454545454, 'f': 0.9454545404545455}"
44,"{'r': 0.7083333333333334, 'p': 0.7906976744186046, 'f': 0.7472527422678421}","{'r': 0.6166666666666667, 'p': 0.7115384615384616, 'f': 0.660714280739796}","{'r': 0.7083333333333334, 'p': 0.7906976744186046, 'f': 0.7472527422678421}"
45,"{'r': 0.8431372549019608, 'p': 0.671875, 'f': 0.7478260820204159}","{'r': 0.8035714285714286, 'p': 0.6338028169014085, 'f': 0.708661412392585}","{'r': 0.8431372549019608, 'p': 0.671875, 'f': 0.7478260820204159}"
46,"{'r': 1.0, 'p': 0.8333333333333334, 'f': 0.9090909041322315}","{'r': 0.9807692307692307, 'p': 0.8095238095238095, 'f': 0.8869565167848772}","{'r': 1.0, 'p': 0.8333333333333334, 'f': 0.9090909041322315}"
47,"{'r': 0.6274509803921569, 'p': 0.5245901639344263, 'f': 0.5714285664684312}","{'r': 0.42105263157894735, 'p': 0.32, 'f': 0.36363635872933886}","{'r': 0.5686274509803921, 'p': 0.47540983606557374, 'f': 0.5178571378970025}"
48,"{'r': 0.8823529411764706, 'p': 0.9782608695652174, 'f': 0.9278350465596771}","{'r': 0.7966101694915254, 'p': 0.94, 'f': 0.8623853161350055}","{'r': 0.8823529411764706, 'p': 0.9782608695652174, 'f': 0.9278350465596771}"
49,"{'r': 1.0, 'p': 0.875, 'f': 0.9333333283555556}","{'r': 0.9833333333333333, 'p': 0.8676470588235294, 'f': 0.9218749950195312}","{'r': 1.0, 'p': 0.875, 'f': 0.9333333283555556}"
50,"{'r': 0.9074074074074074, 'p': 0.8032786885245902, 'f': 0.8521739080620038}","{'r': 0.8909090909090909, 'p': 0.7205882352941176, 'f': 0.7967479625355279}","{'r': 0.9074074074074074, 'p': 0.8032786885245902, 'f': 0.8521739080620038}"
51,"{'r': 0.7254901960784313, 'p': 0.6065573770491803, 'f': 0.6607142807541454}","{'r': 0.5806451612903226, 'p': 0.5, 'f': 0.5373134278636669}","{'r': 0.7254901960784313, 'p': 0.6065573770491803, 'f': 0.6607142807541454}"
52,"{'r': 0.58, 'p': 0.4915254237288136, 'f': 0.5321100867772074}","{'r': 0.4444444444444444, 'p': 0.36363636363636365, 'f': 0.39999999505}","{'r': 0.56, 'p': 0.4745762711864407, 'f': 0.5137614629239964}"
53,"{'r': 0.8043478260869565, 'p': 0.6851851851851852, 'f': 0.7399999950320001}","{'r': 0.7894736842105263, 'p': 0.6716417910447762, 'f': 0.7258064466454216}","{'r': 0.8043478260869565, 'p': 0.6851851851851852, 'f': 0.7399999950320001}"
54,"{'r': 0.6779661016949152, 'p': 0.6349206349206349, 'f': 0.6557376999234077}","{'r': 0.5294117647058824, 'p': 0.5070422535211268, 'f': 0.5179856065131205}","{'r': 0.6779661016949152, 'p': 0.6349206349206349, 'f': 0.6557376999234077}"
55,"{'r': 0.9824561403508771, 'p': 1.0, 'f': 0.9911504374782677}","{'r': 0.967741935483871, 'p': 0.9836065573770492, 'f': 0.9756097510978915}","{'r': 0.9824561403508771, 'p': 1.0, 'f': 0.9911504374782677}"
56,"{'r': 0.42, 'p': 0.40384615384615385, 'f': 0.4117647008842753}","{'r': 0.06779661016949153, 'p': 0.06557377049180328, 'f': 0.06666666166805595}","{'r': 0.36, 'p': 0.34615384615384615, 'f': 0.35294117147251064}"
57,"{'r': 0.7017543859649122, 'p': 0.7843137254901961, 'f': 0.7407407357561729}","{'r': 0.671875, 'p': 0.7288135593220338, 'f': 0.6991869868781811}","{'r': 0.7017543859649122, 'p': 0.7843137254901961, 'f': 0.7407407357561729}"
58,"{'r': 0.4067796610169492, 'p': 0.46153846153846156, 'f': 0.43243242745231725}","{'r': 0.3013698630136986, 'p': 0.36666666666666664, 'f': 0.3308270627169428}","{'r': 0.4067796610169492, 'p': 0.46153846153846156, 'f': 0.43243242745231725}"
59,"{'r': 0.7254901960784313, 'p': 0.74, 'f': 0.732673262327223}","{'r': 0.6440677966101694, 'p': 0.6666666666666666, 'f': 0.6551724087945898}","{'r': 0.7254901960784313, 'p': 0.74, 'f': 0.732673262327223}"
60,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
61,"{'r': 0.8979591836734694, 'p': 0.88, 'f': 0.8888888838893991}","{'r': 0.8771929824561403, 'p': 0.847457627118644, 'f': 0.8620689605187277}","{'r': 0.8979591836734694, 'p': 0.88, 'f': 0.8888888838893991}"
62,"{'r': 0.7692307692307693, 'p': 0.8888888888888888, 'f': 0.8247422630672762}","{'r': 0.6721311475409836, 'p': 0.82, 'f': 0.7387387337878419}","{'r': 0.7692307692307693, 'p': 0.8888888888888888, 'f': 0.8247422630672762}"
63,"{'r': 0.6037735849056604, 'p': 0.6274509803921569, 'f': 0.6153846103864646}","{'r': 0.4838709677419355, 'p': 0.5357142857142857, 'f': 0.5084745712841139}","{'r': 0.5849056603773585, 'p': 0.6078431372549019, 'f': 0.5961538411556953}"
64,"{'r': 0.6363636363636364, 'p': 0.5833333333333334, 'f': 0.6086956471833649}","{'r': 0.5373134328358209, 'p': 0.5217391304347826, 'f': 0.5294117597069637}","{'r': 0.6363636363636364, 'p': 0.5833333333333334, 'f': 0.6086956471833649}"
65,"{'r': 0.8163265306122449, 'p': 0.6779661016949152, 'f': 0.7407407357836077}","{'r': 0.5964912280701754, 'p': 0.5, 'f': 0.54399999503872}","{'r': 0.8163265306122449, 'p': 0.6779661016949152, 'f': 0.7407407357836077}"
66,"{'r': 0.42, 'p': 0.4772727272727273, 'f': 0.44680850565866914}","{'r': 0.2153846153846154, 'p': 0.22950819672131148, 'f': 0.22222221722726138}","{'r': 0.42, 'p': 0.4772727272727273, 'f': 0.44680850565866914}"
67,"{'r': 0.9130434782608695, 'p': 0.9767441860465116, 'f': 0.9438202197247823}","{'r': 0.8571428571428571, 'p': 0.9473684210526315, 'f': 0.8999999950125}","{'r': 0.9130434782608695, 'p': 0.9767441860465116, 'f': 0.9438202197247823}"
68,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
69,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
70,"{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}","{'r': 1.0, 'p': 1.0, 'f': 0.999999995}"
71,"{'r': 0.8524590163934426, 'p': 0.8, 'f': 0.8253968204018646}","{'r': 0.7910447761194029, 'p': 0.7162162162162162, 'f': 0.7517730446577136}","{'r': 0.8524590163934426, 'p': 0.8, 'f': 0.8253968204018646}"
72,"{'r': 0.7962962962962963, 'p': 0.7543859649122807, 'f': 0.7747747697784272}","{'r': 0.6190476190476191, 'p': 0.5909090909090909, 'f': 0.6046511577934021}","{'r': 0.7592592592592593, 'p': 0.7192982456140351, 'f': 0.7387387337423912}"
73,"{'r': 0.74, 'p': 0.74, 'f': 0.739999995}","{'r': 0.6071428571428571, 'p': 0.6071428571428571, 'f': 0.6071428521428572}","{'r': 0.74, 'p': 0.74, 'f': 0.739999995}"
74,"{'r': 0.47058823529411764, 'p': 0.47058823529411764, 'f': 0.47058823029411767}","{'r': 0.22413793103448276, 'p': 0.20967741935483872, 'f': 0.21666666167222232}","{'r': 0.45098039215686275, 'p': 0.45098039215686275, 'f': 0.4509803871568628}"
75,"{'r': 0.7142857142857143, 'p': 0.6363636363636364, 'f': 0.6730769180935652}","{'r': 0.515625, 'p': 0.55, 'f': 0.5322580595213321}","{'r': 0.7142857142857143, 'p': 0.6363636363636364, 'f': 0.6730769180935652}"
76,"{'r': 0.9833333333333333, 'p': 0.9076923076923077, 'f': 0.943999995008}","{'r': 0.9420289855072463, 'p': 0.8904109589041096, 'f': 0.9154929527504464}","{'r': 0.9833333333333333, 'p': 0.9076923076923077, 'f': 0.943999995008}"
77,"{'r': 0.864406779661017, 'p': 0.85, 'f': 0.8571428521432103}","{'r': 0.7761194029850746, 'p': 0.8125, 'f': 0.7938931247736146}","{'r': 0.864406779661017, 'p': 0.85, 'f': 0.8571428521432103}"
78,"{'r': 0.125, 'p': 0.12280701754385964, 'f': 0.12389380031012628}","{'r': 0.0, 'p': 0.0, 'f': 0.0}","{'r': 0.125, 'p': 0.12280701754385964, 'f': 0.12389380031012628}"
79,"{'r': 0.40816326530612246, 'p': 0.6451612903225806, 'f': 0.49999999525312516}","{'r': 0.3103448275862069, 'p': 0.47368421052631576, 'f': 0.3749999952170139}","{'r': 0.40816326530612246, 'p': 0.6451612903225806, 'f': 0.49999999525312516}"
80,"{'r': 0.8363636363636363, 'p': 0.8846153846153846, 'f': 0.85981307911608}","{'r': 0.7424242424242424, 'p': 0.7777777777777778, 'f': 0.7596899174833243}","{'r': 0.8363636363636363, 'p': 0.8846153846153846, 'f': 0.85981307911608}"
